,Average electricity cost assumption: 0.05 USD/kWh,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1386028800,2013-12-03T00:00:00,2.64993093694404,0.0599179479107733,0.798843991926654,23.2292945932515,0.525240731385839,7.00266643322904
1386115200,2013-12-04T00:00:00,3.15447149462457,0.0610222931136789,0.934058514186574,27.652097121879,0.534921421434509,8.18795693535951
1386201600,2013-12-05T00:00:00,3.65255109367694,0.061729514913387,1.06691399372136,32.0182628871721,0.54112092773075,9.35256806896146
1386288000,2013-12-06T00:00:00,4.277776026307,0.0643542610003666,1.23652979240258,37.4989846466072,0.564129451929214,10.839420160201
1386374400,2013-12-07T00:00:00,4.34132394283235,0.0653102669204877,1.2548988915666,38.0560456828684,0.572509799824996,11.0004436834728
1386460800,2013-12-08T00:00:00,4.34132394283235,0.0653102669204877,1.2548988915666,38.0560456828684,0.572509799824996,11.0004436834728
1386547200,2013-12-09T00:00:00,4.3981825429141,0.0661656397046807,1.27133438340232,38.554468171185,0.580007997651231,11.1445172049047
1386633600,2013-12-10T00:00:00,4.43792944665276,0.0667635865353293,1.28282358487672,38.9028895293581,0.585249599568696,11.2452315450293
1386720000,2013-12-11T00:00:00,4.57462094433612,0.0688199542049663,1.32233549672394,40.1011271980505,0.603275718560734,11.5915929642821
1386806400,2013-12-12T00:00:00,4.10066526928375,0.0707974214530593,1.20025760360582,35.9464317505413,0.620610196457518,10.5214581532086
1386892800,2013-12-13T00:00:00,3.50599992151083,0.0715735724494615,1.04429458241865,30.733595311964,0.627413936091979,9.15428630948189
1386979200,2013-12-14T00:00:00,2.96874804927531,0.0745544375524758,0.907124735278439,26.0240453999474,0.653544199585002,7.9518554294508
1387065600,2013-12-15T00:00:00,2.41930450446837,0.0761785229779014,0.764508145531085,21.2076232861697,0.667780932424284,6.70167840372549
1387152000,2013-12-16T00:00:00,1.94734221590105,0.0803092196283827,0.646485503477513,17.0704018645886,0.703990619262403,5.66709192348388
1387238400,2013-12-17T00:00:00,1.35652309336389,0.082763600682542,0.49428932839881,11.8912814364278,0.725505723583163,4.33294025274396
1387324800,2013-12-18T00:00:00,0.763431305142857,0.0849602935105253,0.341070004380952,6.69223882088229,0.744761932913264,2.98981965840343
1387411200,2013-12-19T00:00:00,0.800006346,0.0890306351187998,0.357410242541667,7.012855629036,0.780442547451399,3.13305818612025
1387497600,2013-12-20T00:00:00,0.802328564571429,0.0892890688116482,0.358447715190476,7.03321219703314,0.782707977202908,3.14215267135971
1387584000,2013-12-21T00:00:00,0.798094758857143,0.088817899534558,0.356556223285714,6.99609865614171,0.778577707319935,3.12557185332257
1387670400,2013-12-22T00:00:00,0.822891754285714,0.0915774929591377,0.367634510595238,7.21346911806857,0.802768303279801,3.22268411987786
1387756800,2013-12-23T00:00:00,0.835264941428571,0.0929544729234596,0.373162346517857,7.32193247656286,0.814838909647047,3.27114112957554
1387843200,2013-12-24T00:00:00,0.844967481428571,0.0940342434812616,0.37749704610119,7.40698494220286,0.824304178356739,3.30913910612304
1387929600,2013-12-25T00:00:00,0.85170888,0.094784476275544,0.380508828333333,7.46608004208,0.830880719031419,3.33554038917
1388016000,2013-12-26T00:00:00,0.856361044285714,0.0953022035949647,0.382587225803571,7.50686091420857,0.835419116713461,3.35375962139411
1388102400,2013-12-27T00:00:00,0.891898971428571,0.0992571275029486,0.398464123809524,7.81838638354286,0.870087979690847,3.49293650931429
1388188800,2013-12-28T00:00:00,0.894397551428572,0.0995351880026026,0.399580387559524,7.84028893582286,0.872525458030814,3.50272167734679
1388275200,2013-12-29T00:00:00,0.893642772857143,0.0994511906494261,0.399243183244048,7.83367254686571,0.87178913723287,3.49976574431732
1388361600,2013-12-30T00:00:00,0.895152304285714,0.0996191824941027,0.399917580386905,7.84690509936857,0.873261753743305,3.50567750967161
1388448000,2013-12-31T00:00:00,0.90647379,0.100879121329177,0.404975558958333,7.94614924314,0.884306377571566,3.55001574982875
1388534400,2014-01-01T00:00:00,0.938928715714286,0.090744540540127,0.399055252796875,8.23064912195143,0.795466642374753,3.49811834601741
1388620800,2014-01-02T00:00:00,0.924251194285714,0.0783450969061307,0.376505356123884,8.10198596910857,0.686773119479142,3.30044595178197
1388707200,2014-01-03T00:00:00,0.93133638,0.0661658826427813,0.360407616433408,8.16409470708,0.580010127246621,3.15933316565525
1388793600,2014-01-04T00:00:00,0.94595166,0.0564355684189336,0.350066949489211,8.29221225156,0.494714192760372,3.06868687922243
1388880000,2014-01-05T00:00:00,0.994124211428572,0.0462514283981206,0.348496677767857,8.71449283738286,0.405440021337925,3.05492187731304
1388966400,2014-01-06T00:00:00,1.03217675142857,0.035504871074778,0.343242722739583,9.04806140302286,0.311235699841504,3.00886570753519
1389052800,2014-01-07T00:00:00,1.05376748142857,0.0236512256942857,0.331711123566592,9.23732574220286,0.207326644436109,2.90777970918475
1389139200,2014-01-08T00:00:00,1.07401368857143,0.0241056405657143,0.33808434369122,9.41480399401715,0.211310045199051,2.96364735679724
1389225600,2014-01-09T00:00:00,1.14049891285714,0.0255978644885714,0.359012953500372,9.99761347010572,0.224390880106817,3.14710755038426
1389312000,2014-01-10T00:00:00,1.16407042714286,0.0261269140314286,0.366432933359003,10.2042413643343,0.229028528399503,3.21215109382502
1389398400,2014-01-11T00:00:00,1.22662560857143,0.0275309303257143,0.386124421170387,10.7526000847371,0.241336135235211,3.38476667597961
1389484800,2014-01-12T00:00:00,1.23931796142857,0.0278158031342857,0.390119794629092,10.8638612498829,0.243833330275149,3.41979011971862
1389571200,2014-01-13T00:00:00,1.25876829857143,0.0282523551457143,0.396242486115699,11.0343629052771,0.247660145207331,3.47346163329022
1389657600,2014-01-14T00:00:00,1.28358925714286,0.0288094477714286,0.404055773392857,11.2519434281143,0.252543619164343,3.54195290956179
1389744000,2014-01-15T00:00:00,1.31906730857143,0.0296057329257143,0.415223763019345,11.5629440269371,0.259523854826811,3.63985150662758
1389830400,2014-01-16T00:00:00,1.34299675285714,0.0301428160085714,0.422756414187872,11.7727095355457,0.264231925131137,3.70588272677089
1389916800,2014-01-17T00:00:00,1.34731416857143,0.0302397180057143,0.42411547569122,11.8105560016971,0.265081368038091,3.71779625990924
1390003200,2014-01-18T00:00:00,1.35594250714286,0.0304333762714286,0.42683155483817,11.8861920176143,0.266778976395343,3.7416054097114
1390089600,2014-01-19T00:00:00,1.36157185285714,0.0305597238085714,0.42860359338058,11.9355388621457,0.267886538905937,3.75713909957417
1390176000,2014-01-20T00:00:00,1.39652706857143,0.0313442742057143,0.439607001706845,12.2419562830971,0.274763907687292,3.85359497696221
1390262400,2014-01-21T00:00:00,1.40110209,0.03144695802,0.441047153851563,12.28206092094,0.27566403400332,3.8662193506628
1390348800,2014-01-22T00:00:00,1.41025214571429,0.0316523259371429,0.443927462188244,12.3622703093314,0.277464289164994,3.89146813354215
1390435200,2014-01-23T00:00:00,1.40110210285714,0.0314469583085714,0.44104715789881,12.2820610336457,0.275664036532937,3.86621938614097
1390521600,2014-01-24T00:00:00,1.46305963285714,0.0328375606485714,0.460550513479539,12.8251807416257,0.287854056645377,4.03718580116164
1390608000,2014-01-25T00:00:00,1.49540209714286,0.0335634692914286,0.470731464549107,13.1086947835543,0.294217371808663,4.12643201823747
1390694400,2014-01-26T00:00:00,1.51523528142857,0.0340086140942857,0.476974670910342,13.2825524770029,0.298119511150509,4.18115996520006
1390780800,2014-01-27T00:00:00,1.53617825571429,0.0344786675171429,0.483567223492932,13.4661385895914,0.302239999455274,4.23895028113904
1390867200,2014-01-28T00:00:00,1.56224702571429,0.0350637665771429,0.491773304188244,13.6946574274114,0.307368977815234,4.31088478451415
1390953600,2014-01-29T00:00:00,1.55577380142857,0.0349184786542857,0.489735624587426,13.6379131433229,0.306095383883469,4.29302248513337
1391040000,2014-01-30T00:00:00,1.60010874,0.03591355172,0.503691637223959,14.02655321484,0.31481819437752,4.41536089190522
1391126400,2014-01-31T00:00:00,1.62229732714286,0.0364115622314286,0.510676291145461,14.2210583697343,0.319183754520703,4.47658836818111
1391212800,2014-02-01T00:00:00,1.65594912428571,0.0371668581228571,0.521269401710194,14.5160500234886,0.325804678304966,4.56944757539156
1391299200,2014-02-02T00:00:00,1.70362251,0.03823686078,0.536276310367188,14.93395492266,0.33518432159748,4.70099813667877
1391385600,2014-02-03T00:00:00,1.71343762714286,0.0384571556314286,0.53936597065067,15.0199942395343,0.337115426265103,4.72808209872377
1391472000,2014-02-04T00:00:00,1.73867648142857,0.0390236276942857,0.547310805597842,15.2412380362029,0.342081120368109,4.79772652187069
1391558400,2014-02-05T00:00:00,1.79198997428571,0.0402202194228571,0.564093140343006,15.7085841145886,0.352570443460766,4.94484046824679
1391644800,2014-02-06T00:00:00,1.85013714857143,0.0415253004457143,0.582397049748512,16.2183022443771,0.364010783707131,5.10529253809546
1391731200,2014-02-07T00:00:00,1.85183065285714,0.0415633102085714,0.582930140984747,16.2331475029457,0.364343977288337,5.10996561587229
1391817600,2014-02-08T00:00:00,1.89174978,0.04245927284,0.595496118536459,16.58307857148,0.37219798571544,5.22011897509059
