Date,Price,Market_Cap,Energy_TWh_Annual,electricity_price,daily_energy_kwh,daily_cost_usd,cumulative_cost,CEIR,log_CEIR,post_china_ban,period
2021-05-11,55307.46,1037829282153.702,112.963232857093,0.052524,309488309.1975151,16255563.952290282,9131297885.207634,113.65627265702798,4.733178741534204,0,Pre-ban
2021-05-16,48242.95,905521317133.2996,110.278949527083,0.052524,302134108.2933781,15869291.904001392,9212967104.063871,98.28769677619614,4.587898859362647,0,Pre-ban
2021-05-20,38311.29,719265875372.4375,95.7012540464021,0.0547257,262195216.5654852,14348816.763197774,9273836909.04865,77.55860734089865,4.3510338743197225,0,Pre-ban
2021-05-24,32576.91,611744705991.605,88.9183962233433,0.0547257,243612044.44751588,13331839.66082142,9328018705.872034,65.58141930038248,4.183292413457128,0,Pre-ban
2021-05-29,35208.55,661348303755.3668,91.4898779823564,0.0547257,250657199.95166135,13717390.727394637,9396145282.565825,70.38506577611912,4.2539811067984825,0,Pre-ban
2021-06-02,36318.98,682359013908.1525,92.1525676721689,0.0547257,252472788.14292848,13816750.062073462,9450890116.120789,72.20050233620043,4.27944700343968,0,Pre-ban
2021-06-06,35827.47,673274878943.0123,91.3711004723668,0.0547257,250331782.11607343,13699582.0085496,9505880539.496338,70.8271975589844,4.260243073247708,0,Pre-ban
2021-06-11,36476.84,685668839518.4524,82.6055033314781,0.0547257,226316447.48350164,12385326.010047866,9571392395.369793,71.6373136943114,4.271616079201801,0,Pre-ban
2021-06-15,39847.49,749194694413.2405,78.1962805464783,0.0725133,214236385.05884463,15534987.26068752,9623522088.692722,77.85036367231038,4.35478856971817,1,Pre-ban
2021-06-20,36104.3,679005061839.7618,72.9972573179219,0.06487365,199992485.80252576,12974242.526583027,9693187948.417637,70.04971588842514,4.249205216935036,1,Pre-ban
2021-06-21,34932.68,657007038143.2864,70.4239115513062,0.06487365,192942223.42823616,12516866.272905191,9705704814.69054,67.69287245876689,4.2149808931167865,1,Post-ban
2021-06-25,34861.5,655813260309.5483,61.7603134617946,0.06487365,169206338.25149205,10977032.765508909,9751350975.381151,67.2535797311833,4.208470247268741,1,Post-ban
2021-06-30,36148.75,680216452246.515,53.8687180807528,0.06487365,147585528.98836383,9574411.95265597,9801296474.63501,69.4006608214395,4.239896389390185,1,Post-ban
2021-07-05,35515.63,668486709879.2062,54.8125197445701,0.06487365,150171286.97142494,9742159.511033785,9848496012.800713,67.87703513412929,4.2176977613645175,1,Post-ban
2021-07-10,33521.78,631130861869.6691,58.1352720324325,0.06487365,159274717.89707536,10332732.302703604,9898744280.6139,63.75867928073475,4.15510532035172,1,Post-ban
2021-07-15,32792.98,617578269782.0962,60.2313497385014,0.06487365,165017396.54383945,10705280.827296251,9951405057.548946,62.05940429624187,4.12809206013823,1,Post-ban
2021-07-20,30772.25,579680694288.8447,61.9980261660447,0.064201275,169857605.93436906,10905074.86943406,10005677054.34686,57.93517931272913,4.059324787511624,1,Post-ban
2021-07-25,33935.75,639447930348.6796,60.5637437263267,0.064201275,165928065.00363478,10652793.331516232,10058714591.20152,63.57153536377427,4.152165812989111,1,Post-ban
2021-07-30,39725.69,748750319843.7793,66.1499690916871,0.064201275,181232792.03201944,11635376.320265489,10114115900.027826,74.03022935911969,4.304473514641748,1,Post-ban
2021-08-04,38062.45,717595716031.106,67.7461168484085,0.064201275,185605799.58468089,11916128.980730982,10173857254.457094,70.53329903137106,4.2560849249932,1,Post-ban
2021-08-09,43646.75,823099285835.1736,69.2404166872928,0.064201275,189699771.7460076,12178967.213302666,10234086371.297647,80.42723658690477,4.387352882336232,1,Post-ban
2021-08-14,47614.16,898159250822.7291,69.1440240473393,0.064201275,189435682.32147756,12162012.335533818,10294858937.09337,87.24347330166658,4.46870275371911,1,Post-ban
2021-08-19,44536.34,840327047392.587,74.7895527822125,0.0702342875,204902884.3348288,14391208.087951612,10363092355.46821,81.08844527948054,4.395540475995265,1,Post-ban
2021-08-24,49503.25,934294562457.906,76.5287296693344,0.0702342875,209667752.5187244,14725865.209878938,10436643767.14915,89.5205952510072,4.494468713344914,1,Post-ban
2021-08-29,48745.58,920240483692.398,80.1472805426822,0.0702342875,219581590.5278964,15422156.558843557,10513215012.140104,87.53178572204155,4.47200199279343,1,Post-ban
2021-09-03,49550.91,935693054028.9894,76.5753558011766,0.0702342875,209795495.34568933,14734837.136314057,10587252052.032495,88.37921770733314,4.481636848196268,1,Post-ban
2021-09-08,46808.79,884147165271.9119,81.7408606605813,0.0702342875,223947563.4536474,15728797.556527968,10663886266.429718,82.91040838040796,4.417760607702873,1,Post-ban
2021-09-13,45930.0,867778045748.2424,79.6419760831185,0.0702342875,218197194.74826983,15324924.507643476,10741383620.2455,80.78829287063569,4.391832064814544,1,Post-ban
2021-09-18,46968.3,887629690176.8435,82.662806636354,0.0691953,226473442.839326,15670897.819300016,10819555195.619087,82.03938832312173,4.407199477339254,1,Post-ban
2021-09-23,43436.92,821108344735.2284,83.0604946202902,0.0691953,227562998.9596992,15746289.981916074,10897635156.172155,75.34738803126221,4.322109259989424,1,Post-ban
2021-09-27,43150.15,815858995812.9556,80.9459933178975,0.0691953,221769844.7065685,15345430.93542442,10960034355.328348,74.43945606031026,4.30998612465856,1,Post-ban
2021-10-02,48124.18,910143896705.7388,83.3898350588103,0.0691953,228465301.53098717,15808725.079027114,11038156855.675058,82.45433622713975,4.412244639825715,1,Post-ban
2021-10-07,54925.69,1039048601212.5138,82.3567191437741,0.0691953,225634846.9692441,15612870.926490936,11117232112.291824,93.4628863297443,4.537564419844245,1,Post-ban
2021-10-12,57334.49,1084899770758.2612,79.5878114658018,0.0691953,218048798.5364433,15087952.029368754,11193803624.98441,96.9196715526419,4.573882507092416,1,Post-ban
2021-10-17,60999.09,1154542820108.278,83.1384791524579,0.0697554375,227776655.21221343,15888660.236614604,11272875649.98672,102.41777306482028,4.629060262630866,1,Post-ban
2021-10-22,62668.5,1186448020888.9597,86.1572820581918,0.0697554375,236047348.1046351,16465586.037753616,11353699474.730766,104.49880442313663,4.649175630412496,1,Post-ban
2021-10-27,62088.98,1175780824568.191,89.9368591144126,0.0697554375,246402353.7381167,17187903.98603209,11438351896.130877,102.79285296039104,4.632715826872573,1,Post-ban
2021-11-01,60658.38,1148986143359.9656,89.3029217168018,0.0697554375,244665538.95014197,17066751.71064044,11525220816.124475,99.69319995608802,4.60209746958744,1,Post-ban
2021-11-06,60970.83,1155201999938.5574,92.5651955943935,0.0697554375,253603275.6010781,17690207.440986276,11613038112.1804,99.4745723538888,4.599902057272726,1,Post-ban
2021-11-11,64265.8,1217943916530.7517,93.0510211758357,0.0697554375,254934304.59133068,17783053.95052653,11701970221.916767,104.08024404725016,4.64516217900598,1,Post-ban
2021-11-16,63876.01,1210866898505.791,95.1622329088874,0.0697554375,260718446.3257189,18186529.28777079,11791083316.629135,102.69343927017188,4.631748232422391,1,Post-ban
2021-11-21,59638.24,1130822412738.643,92.9829695531634,0.0701124499999999,254747861.7894888,17860996.72232244,11882194708.976751,95.1694901855404,4.555659409187907,1,Post-ban
2021-11-26,58843.86,1116044248734.724,89.3854151846259,0.0701124499999999,244891548.45102987,17169946.44619541,11969178472.079405,93.24317883120628,4.535210906585183,1,Post-ban
2021-12-01,57148.75,1084169976788.6248,87.7368384370758,0.0701124499999999,240374899.82760492,16853273.14541796,12054864884.619217,89.93630266000872,4.499101671536132,1,Post-ban
2021-12-06,49322.48,935934889882.6392,99.2015289984782,0.0701124499999999,271785010.9547348,19055512.991313294,12145661668.446384,77.05919326850142,4.344573870268328,1,Post-ban
2021-12-11,47922.47,909598484961.8848,101.77434088194,0.0701124499999999,278833810.63545203,19549721.6064876,12243953729.573374,74.28960489820298,4.307971034778364,1,Post-ban
2021-12-16,49170.22,933516932760.4756,93.0117886884804,0.0701124499999999,254826818.32460383,17866532.55844287,12337076786.10025,75.66759524527205,4.326350000701941,1,Post-ban
2021-12-21,46972.18,892010552466.9167,94.073610540175,0.070950375,257735919.2881507,18286460.124464028,12427394661.43888,71.7777600831128,4.273574679926251,1,Post-ban
2021-12-26,50819.8,965319697499.7604,98.9087462570814,0.070950375,270982866.4577573,19226335.993752804,12522773867.49582,77.0851336703723,4.344910443175433,1,Post-ban
2021-12-31,47294.88,898588797201.6006,93.3056074472354,0.070950375,255631801.2253025,18137172.158860672,12615972314.349916,71.22628163819839,4.265861874440377,1,Post-ban
2022-08-15,24288.0,466427400601.0015,83.232723969543,0.082327375,228034860.19052875,18773511.44797824,17704492357.370647,26.345143999953248,3.271283969577351,1,ETH Merge
2022-08-16,24080.5,462463088146.85547,83.6480568080609,0.082327375,229172758.37824905,18867191.618790507,17723359548.989437,26.093421332933715,3.2616832263477065,1,ETH Merge
2022-08-18,23405.0,449530058763.63214,82.4474422206739,0.082327375,225883403.34431207,18596387.65340344,17760467143.47877,25.310711431860568,3.2312276828882074,1,ETH Merge
2022-08-19,23420.25,449842891116.7338,84.5338959758452,0.082327375,231599715.0023156,19066996.586888768,17779534140.06566,25.301162987337563,3.230850362555939,1,ETH Merge
2022-08-21,20813.0,399799711387.7009,86.5983181739327,0.082327375,237255666.22995257,19532636.20458815,17818338665.129997,22.43754139492803,3.1107355111460957,1,ETH Merge
2022-08-22,21481.25,412654471116.8739,86.6739586473017,0.082327375,237462900.4035663,19549697.25011206,17837888362.380108,23.133594219995075,3.1412858563024595,1,ETH Merge
2022-08-24,21486.75,412796620903.3535,90.2455772980915,0.082327375,247248156.98107263,20355291.73783964,17878263254.3743,23.08930207761394,3.139369396734354,1,ETH Merge
2022-08-25,21689.0,416700589793.2437,91.5291356833133,0.082327375,250764755.2967488,20644804.04609868,17898908058.420395,23.28078274010745,3.1476282451548507,1,ETH Merge
2022-08-27,20651.43,396801269952.9591,90.6881265831183,0.082327375,248460620.77566656,20455110.699331097,17939928282.96266,22.11833089264892,3.096406716874428,1,ETH Merge
